participantId,accountId,currentAccountId,currentPlatformId,matchHistoryUri,platformId,summonerId,summonerName
1,NX9NE2OjEhZ1iBIHP9m2f4QQL6MYwOdDq7SFzMrSyHgsIg,9PKV7M7-62D_N6zCd9Vekcabh5US_XIULdfbFdO2OCs,BR1,/v1/stats/player_history/NA1/46777896,NA1,23-uMMuKpW7AcGdKnI8wuIX4lgvo574Gv7DJAJuOZdFL,NiT Cesar
2,__Jvos7K0uQAOieSBjpqLXsfE7MrBVRgYr0psh1Mv2BVoGo,__Jvos7K0uQAOieSBjpqLXsfE7MrBVRgYr0psh1Mv2BVoGo,BR1,/v1/stats/player_history/BR1/213686737,BR1,hUh0-RKANs5ARMNk6CbxofRmvH2htzvAYGRvNQJoI7h9I-g,Markím MECHANICS
3,pOQyz6gsFNhwr-nABp9wPe2YHcrrDqG-2zt_y8z0hi8Pw4s,pOQyz6gsFNhwr-nABp9wPe2YHcrrDqG-2zt_y8z0hi8Pw4s,BR1,/v1/stats/player_history/BR1/205532686,BR1,Xh_8TxBZ-tVIVlIfPX9u362drhLzCiauPCVM-CAeJiUvXg,you even trying
4,dGnaEgCLCUCmXCL0AM6ltF0ImhJxZSFHFckr5HgixUzl6Sc,dGnaEgCLCUCmXCL0AM6ltF0ImhJxZSFHFckr5HgixUzl6Sc,BR1,/v1/stats/player_history/BR1/201690896,BR1,25CycYdhMw341LEWqjMxWjcyjaOCHECqA-sdm54MgDq9-w,Demon Shade
5,RuYadr7ynEIP6yBn32g8W633t8Z8ogDEz9Yy0eGMZKnhFw,gm6M5k9UZieK-NPA_jndjutOEtTEg4XLTjTnzQqoITM,BR1,/v1/stats/player_history/NA/36703938,NA,AhIgUZSrXhh0QsBX9blkBBa_FEc47VgTzU_t2aHBxh4D,KBM Atlanta
6,zUVpDsdsmG3RsN-9RCGhZVQ3jnvNe89QFN_4NMeM_z4iXFc,zUVpDsdsmG3RsN-9RCGhZVQ3jnvNe89QFN_4NMeM_z4iXFc,BR1,/v1/stats/player_history/BR1/200797313,BR1,P_tCofOBo4db6d8kAfb9TojyhEqZBHO8zBD3nkmALznFTQ,freirezin
7,VEYhCB9aKTSY8vRjl7zzvTCVzCCTCjU_Oa5GGF5Bezlx,VEYhCB9aKTSY8vRjl7zzvTCVzCCTCjU_Oa5GGF5Bezlx,BR1,/v1/stats/player_history/BR1/1194077,BR1,W_uqhCkGhqQPKpYbumtjpo76dGOLb2dM410GwvoSvD__IA,4LaN
8,71LzJSmj-Ymti-_CrgYlR7laclexN3bRSqAz_oR9D0F_ofs,71LzJSmj-Ymti-_CrgYlR7laclexN3bRSqAz_oR9D0F_ofs,BR1,/v1/stats/player_history/BR1/202648015,BR1,PviIdiOKdAZi9lTkKtqJbcGGxFY_tIGtZ3wRbkkkOp2IfQ,Jo0o0oJóT1K0
9,WO9pmokfkZ-fipnKAs3ynlYSxnQ2N-2jSUYKDW5NInvsXg,SV2ShKe4VbwkdU5k8uh288Ptwbt4xJrkEQvVa9H4tp9a,BR1,/v1/stats/player_history/NA/34750423,NA,B2H8QaxGLjQ_SwwmaXGgm8XE3c3wSPmLm-r5iu_E-IkUhA,Rain1ng
10,UUR5qevGSQyQi4QWL0Qhx7_UB92uGNg4sAqVCRhnwEwq4qE,UUR5qevGSQyQi4QWL0Qhx7_UB92uGNg4sAqVCRhnwEwq4qE,BR1,/v1/stats/player_history/BR1/211917745,BR1,pfpxIt2Fl6XFOdFXC7kSItVaxB2zxG_0A53CofgA7XvHo7I,c ta doido
